
変数情報		
変数	位置	ラベル
ID	1	復元用ID
city	2	市郡
q01_01_1	3	A世帯員1_続柄
q01_01_2	4	A世帯員1_性別
q01_01_3	5	A世帯員1_満年齢
q01_01_4	6	A世帯員1_学校段階
q01_01_5	7	A世帯員1_在学／卒業別
q01_01_6	8	A世帯員1_傷病の状況
q01_01_7	9	A世帯員1_障害等の状況
q01_01_8	10	A世帯員1_長欠の状況
q01_02_1	11	A世帯員2_続柄
q01_02_2	12	A世帯員2_性別
q01_02_3	13	A世帯員2_満年齢
q01_02_4	14	A世帯員2_学校段階
q01_02_5	15	A世帯員2_在学／卒業別
q01_02_6	16	A世帯員2_傷病の状況
q01_02_7	17	A世帯員2_障害等の状況
q01_02_8	18	A世帯員2_長欠の状況
q01_03_1	19	A世帯員3_続柄
q01_03_2	20	A世帯員3_性別
q01_03_3	21	A世帯員3_満年齢
q01_03_4	22	A世帯員3_学校段階
q01_03_5	23	A世帯員3_在学／卒業別
q01_03_6	24	A世帯員3_傷病の状況
q01_03_7	25	A世帯員3_障害等の状況
q01_03_8	26	A世帯員3_長欠の状況
q01_04_1	27	A世帯員4_続柄
q01_04_2	28	A世帯員4_性別
q01_04_3	29	A世帯員4_満年齢
q01_04_4	30	A世帯員4_学校段階
q01_04_5	31	A世帯員4_在学／卒業別
q01_04_6	32	A世帯員4_傷病の状況
q01_04_7	33	A世帯員4_障害等の状況
q01_04_8	34	A世帯員4_長欠の状況
q01_05_1	35	A世帯員5_続柄
q01_05_2	36	A世帯員5_性別
q01_05_3	37	A世帯員5_満年齢
q01_05_4	38	A世帯員5_学校段階
q01_05_5	39	A世帯員5_在学／卒業別
q01_05_6	40	A世帯員5_傷病の状況
q01_05_7	41	A世帯員5_障害等の状況
q01_05_8	42	A世帯員5_長欠の状況
q01_06_1	43	A世帯員6_続柄
q01_06_2	44	A世帯員6_性別
q01_06_3	45	A世帯員6_満年齢
q01_06_4	46	A世帯員6_学校段階
q01_06_5	47	A世帯員6_在学／卒業別
q01_06_6	48	A世帯員6_傷病の状況
q01_06_7	49	A世帯員6_障害等の状況
q01_06_8	50	A世帯員6_長欠の状況
